S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1,12-03-2020,India,74,71,3,0
2,13-03-2020,India,75,71,3,1
3,14-03-2020,India,84,72,10,2
4,15-03-2020,India,107,95,10,2
5,16-03-2020,India,114,99,13,2
6,17-03-2020,India,137,120,14,3
7,18-03-2020,India,146,129,14,3
8,19-03-2020,India,166,148,15,3
9,20-03-2020,India,195,171,20,4
10,21-03-2020,India,258,231,23,4
11,22-03-2020,India,360,329,24,7
12,23-03-2020,India,433,402,24,7
13,24-03-2020,India,492,446,37,9
14,25-03-2020,India,519,469,40,10
15,26-03-2020,India,649,593,43,13
16,27-03-2020,India,724,640,67,17
17,28-03-2020,India,909,810,80,19
18,29-03-2020,India,979,867,87,25
19,30-03-2020,India,1071,942,100,29
20,31-03-2020,India,1397,1238,124,35
21,01-04-2020,India,1637,1466,133,38
22,02-04-2020,India,1965,1764,151,50
23,03-04-2020,India,2301,2088,157,56
24,04-04-2020,India,2902,2650,184,68
25,05-04-2020,India,3374,3030,267,77
26,06-04-2020,India,4067,3666,292,109
27,07-04-2020,India,4421,3981,326,114
28,08-04-2020,India,5194,4643,402,149
29,09-04-2020,India,5734,5095,473,166
30,10-04-2020,India,6412,5709,504,199
31,11-04-2020,India,7447,6565,643,239
32,12-04-2020,India,8356,7367,716,273
33,13-04-2020,India,9152,7987,857,308
34,14-04-2020,India,10363,8988,1036,339
35,15-04-2020,India,11439,9756,1306,377
36,16-04-2020,India,12380,10477,1489,414
37,17-04-2020,India,13387,11201,1749,437
38,18-04-2020,India,14378,11906,1992,480
39,19-04-2020,India,15712,12974,2231,507
40,20-04-2020,India,17265,14175,2547,543
41,21-04-2020,India,18601,14759,3252,590
42,22-04-2020,India,19984,15474,3870,640
43,23-04-2020,India,21393,16454,4258,681
44,24-04-2020,India,23077,17610,4749,718
45,25-04-2020,India,24506,18668,5063,775
46,26-04-2020,India,26496,19868,5804,824
47,27-04-2020,India,27892,20835,6185,872
48,28-04-2020,India,29435,21632,6869,934
49,29-04-2020,India,31332,22629,7696,1007
50,30-04-2020,India,33050,23651,8325,1074
51,01-05-2020,India,35043,25007,8889,1147
52,02-05-2020,India,37336,26167,9951,1218
53,03-05-2020,India,39980,28046,10633,1301
54,04-05-2020,India,42533,29453,11707,1373
55,05-05-2020,India,46433,32138,12727,1568
56,06-05-2020,India,49390,33513,14183,1694
57,07-05-2020,India,52951,35901,15267,1783
58,08-05-2020,India,56341,37915,16540,1886
59,09-05-2020,India,59662,39834,17847,1981
60,10-05-2020,India,62939,41472,19358,2109
61,11-05-2020,India,67152,44029,20917,2206
62,12-05-2020,India,70756,46008,22455,2293
63,13-05-2020,India,74281,47480,24386,2415
64,14-05-2020,India,78003,49219,26235,2549
65,15-05-2020,India,81970,51401,27920,2649
66,16-05-2020,India,85940,53035,30153,2752
67,17-05-2020,India,90927,53946,34109,2872
68,18-05-2020,India,96169,56316,36824,3029
69,19-05-2020,India,101139,58802,39174,3163
70,20-05-2020,India,106750,61149,42298,3303
71,21-05-2020,India,112359,63624,45300,3435
72,22-05-2020,India,118447,66330,48534,3583
73,23-05-2020,India,125101,69597,51784,3720
74,24-05-2020,India,131868,73560,54441,3867
75,25-05-2020,India,138845,77103,57721,4021
76,26-05-2020,India,145380,80722,60491,4167
77,27-05-2020,India,151767,83004,64426,4337
78,28-05-2020,India,158333,86110,67692,4531
79,29-05-2020,India,165799,89987,71106,4706
80,30-05-2020,India,173763,86422,82370,4971
81,31-05-2020,India,182143,89995,86984,5164
82,01-06-2020,India,190535,93322,91819,5394
83,02-06-2020,India,198706,97581,95527,5598
84,03-06-2020,India,207615,101497,100303,5815
85,04-06-2020,India,216919,106737,104107,6075
86,05-06-2020,India,226770,110960,109462,6348
87,06-06-2020,India,236657,115942,114073,6642
88,07-06-2020,India,246628,120406,119293,6929
89,08-06-2020,India,256611,125381,124095,7135
90,09-06-2020,India,266598,129917,129215,7466
91,10-06-2020,India,276583,133632,135206,7745
92,11-06-2020,India,286579,137448,141029,8102
93,12-06-2020,India,297535,141842,147195,8498
94,13-06-2020,India,308993,145779,154330,8884
95,14-06-2020,India,320922,149348,162379,9195
96,15-06-2020,India,332424,153106,169798,9520
97,16-06-2020,India,343091,153178,180013,9900
98,17-06-2020,India,354065,155227,186935,11903
99,18-06-2020,India,366946,160384,194325,12237
100,19-06-2020,India,380532,163248,204711,12573
101,20-06-2020,India,395048,168269,213831,12948
102,21-06-2020,India,410461,169451,227756,13254
103,22-06-2020,India,425282,174387,237196,13699
104,23-06-2020,India,440215,178014,248190,14011
105,24-06-2020,India,456183,183022,258685,14476
106,25-06-2020,India,473105,186514,271697,14894
107,26-06-2020,India,490401,189463,285637,15301
108,27-06-2020,India,508953,197387,295881,15685
109,28-06-2020,India,528859,203051,309713,16095
110,29-06-2020,India,548318,210120,321723,16475
111,30-06-2020,India,566840,215125,334822,16893
112,01-07-2020,India,585493,220114,347979,17400
113,02-07-2020,India,604641,226947,359860,17834
114,03-07-2020,India,625544,227439,379892,18213
115,04-07-2020,India,648315,235433,394227,18655
116,05-07-2020,India,673165,244814,409083,19268
117,06-07-2020,India,697413,253287,424433,19693
118,07-07-2020,India,719665,259557,439948,20160
119,08-07-2020,India,742417,264944,456831,20642
120,09-07-2020,India,767296,269789,476378,21129
121,10-07-2020,India,793802,276685,495513,21604
122,11-07-2020,India,820916,283407,515386,22123
123,12-07-2020,India,849553,292258,534621,22674
124,13-07-2020,India,878254,301609,553471,23174
125,14-07-2020,India,906752,311565,571460,23727
126,15-07-2020,India,936181,319840,592032,24309
127,16-07-2020,India,968876,331146,612815,24915
128,17-07-2020,India,1003832,342473,635757,25602
129,18-07-2020,India,1038716,358692,653751,26273
130,19-07-2020,India,1077618,373379,677423,26816
131,20-07-2020,India,1118043,390459,700087,27497
132,21-07-2020,India,1155191,402529,724578,28084
133,22-07-2020,India,1192915,411133,753050,28732
134,23-07-2020,India,1238635,426167,782607,29861
135,24-07-2020,India,1287945,440135,817209,30601
136,25-07-2020,India,1336861,456071,849432,31358
137,26-07-2020,India,1385522,467882,885577,32063
138,27-07-2020,India,1435453,485114,917568,32771
139,28-07-2020,India,1483156,496988,952743,33425
140,29-07-2020,India,1531669,509447,988029,34193
141,30-07-2020,India,1583792,528242,1020582,34968
142,31-07-2020,India,1638870,545318,1057805,35747
143,01-08-2020,India,1695988,565103,1094374,36511
144,02-08-2020,India,1750723,567730,1145629,37364
145,03-08-2020,India,1803695,579357,1186203,38135
146,04-08-2020,India,1855745,586298,1230509,38938
147,05-08-2020,India,1908254,586244,1282215,39795
148,06-08-2020,India,1964536,595501,1328336,40699
149,07-08-2020,India,2027074,607384,1378105,41585
150,08-08-2020,India,2088611,619088,1427005,42518
151,09-08-2020,India,2153010,628747,1480884,43379
152,10-08-2020,India,2215074,634945,1535743,44386
153,11-08-2020,India,2268675,639929,1583489,45257
154,12-08-2020,India,2329638,643948,1639599,46091
155,13-08-2020,India,2396637,653622,1695982,47033
156,14-08-2020,India,2461190,661595,1751555,48040
157,15-08-2020,India,2526192,668220,1808936,49036
158,16-08-2020,India,2589682,677444,1862258,49980
159,17-08-2020,India,2647663,676900,1919842,50921
160,18-08-2020,India,2702742,673166,1977779,51797
161,19-08-2020,India,2767273,676514,2037870,52889
162,20-08-2020,India,2836925,686395,2096664,53866
163,21-08-2020,India,2905823,692028,2158946,54849
164,22-08-2020,India,2975701,697330,2222577,55794
165,23-08-2020,India,3044940,707668,2280566,56706
166,24-08-2020,India,3106348,710771,2338035,57542
167,25-08-2020,India,3167323,704348,2404585,58390
168,26-08-2020,India,3234474,707267,2467758,59449
169,27-08-2020,India,3310234,725991,2523771,60472
170,28-08-2020,India,3387500,742023,2583948,61529
171,29-08-2020,India,3463972,752424,2648998,62550
172,30-08-2020,India,3542733,765302,2713933,63498
173,31-08-2020,India,3621245,781975,2774801,64469
174,01-09-2020,India,3691166,785996,2839882,65288
175,02-09-2020,India,3769523,801282,2901908,66333
176,03-09-2020,India,3853406,815538,2970492,67376
177,04-09-2020,India,3936747,831124,3037151,68472
178,05-09-2020,India,4023179,846395,3107223,69561
179,06-09-2020,India,4113811,862320,3180865,70626
180,07-09-2020,India,4204613,882542,3250429,71642
181,08-09-2020,India,4280422,883697,3323950,72775
182,09-09-2020,India,4370128,897394,3398844,73890
183,10-09-2020,India,4465863,919018,3471783,75062
184,11-09-2020,India,4562414,943480,3542663,76271
185,12-09-2020,India,4659984,958316,3624196,77472
186,13-09-2020,India,4754356,973175,3702595,78586
187,14-09-2020,India,4846427,986598,3780107,79722
188,15-09-2020,India,4930236,990061,3859399,80776
189,16-09-2020,India,5020359,995933,3942360,82066
190,17-09-2020,India,5118253,1009976,4025079,83198
191,18-09-2020,India,5214677,1017754,4112551,84372
192,19-09-2020,India,5308014,1013964,4208431,85619
193,20-09-2020,India,5400619,1010824,4303043,86752
194,21-09-2020,India,5487580,1003299,4396399,87882
195,22-09-2020,India,5562663,975861,4497867,88935
196,23-09-2020,India,5646010,968377,4587613,90020
197,24-09-2020,India,5732518,966382,4674987,91149
198,25-09-2020,India,5818570,970116,4756164,92290
199,26-09-2020,India,5903932,960969,4849584,93379
200,27-09-2020,India,5992532,956402,4941627,94503
201,28-09-2020,India,6074702,962640,5016520,95542
202,29-09-2020,India,6145291,947576,5101397,96318
203,30-09-2020,India,6225763,940441,5187825,97497
204,01-10-2020,India,6312584,940705,5273201,98678
205,02-10-2020,India,6394068,942217,5352078,99773
206,03-10-2020,India,6473544,944996,5427706,100842
207,04-10-2020,India,6549373,937625,5509966,101782
208,05-10-2020,India,6623815,934427,5586703,102685
209,06-10-2020,India,6685082,919023,5662490,103569
210,07-10-2020,India,6757131,907883,5744693,104555
211,08-10-2020,India,6835655,902425,5827704,105526
212,09-10-2020,India,6906151,893592,5906069,106490
213,10-10-2020,India,6979423,883185,5988822,107416
214,11-10-2020,India,7053806,867496,6077976,108334
215,12-10-2020,India,7120538,861853,6149535,109150
216,13-10-2020,India,7175880,838729,6227295,109856
217,14-10-2020,India,7239389,826876,6301927,110586
218,15-10-2020,India,7307097,812390,6383441,111266
219,16-10-2020,India,7370468,804528,6453779,112161
220,17-10-2020,India,7432680,795087,6524595,112998
221,18-10-2020,India,7494551,783311,6597209,114031
222,19-10-2020,India,7550273,772055,6663608,114610
223,20-10-2020,India,7597063,748538,6733328,115197
224,21-10-2020,India,7651107,740090,6795103,115914
225,22-10-2020,India,7706946,715812,6874518,116616
226,23-10-2020,India,7761312,695509,6948497,117306
227,24-10-2020,India,7814682,680680,7016046,117956
228,25-10-2020,India,7864811,668154,7078123,118534
229,26-10-2020,India,7909959,653717,7137228,119014
230,27-10-2020,India,7946429,625857,7201070,119502
231,28-10-2020,India,7990322,610803,7259509,120010
232,29-10-2020,India,8040203,603687,7315989,120527
233,30-10-2020,India,8088851,594386,7373375,121090
234,31-10-2020,India,8137119,582649,7432829,121641
235,01-11-2020,India,8184082,570458,7491513,122111
236,02-11-2020,India,8229313,561908,7544798,122607
237,03-11-2020,India,8267623,541405,7603121,123097
238,04-11-2020,India,8313876,533787,7656478,123611
239,05-11-2020,India,8364086,527962,7711809,124315
240,06-11-2020,India,8411724,520773,7765966,124985
241,07-11-2020,India,8462080,516632,7819886,125562
242,08-11-2020,India,8507754,512665,7868968,126121
243,09-11-2020,India,8553657,509673,7917373,126611
244,10-11-2020,India,8591730,505265,7959406,127059
245,11-11-2020,India,8636011,494657,8013783,127571
246,12-11-2020,India,8683916,489294,8066501,128121
247,13-11-2020,India,8728795,484547,8115580,128668
248,14-11-2020,India,8773479,480719,8163572,129188
249,15-11-2020,India,8814579,479216,8205728,129635
250,16-11-2020,India,8845127,465478,8249579,130070
251,17-11-2020,India,8874290,453401,8290370,130519
252,18-11-2020,India,8912907,446805,8335109,130993
253,19-11-2020,India,8958483,443303,8383602,131578
254,20-11-2020,India,9004365,443794,8428409,132162
255,21-11-2020,India,9050597,439747,8478124,132726
256,22-11-2020,India,9095806,440962,8521617,133227
257,23-11-2020,India,9139865,443486,8562641,133738
258,24-11-2020,India,9177840,438667,8604955,134218
259,25-11-2020,India,9222216,444746,8642771,134699
260,26-11-2020,India,9266705,452344,8679138,135223
261,27-11-2020,India,9309787,455555,8718517,135715
262,28-11-2020,India,9351109,454940,8759969,136200
263,29-11-2020,India,9392919,453956,8802267,136696
264,30-11-2020,India,9431691,446952,8847600,137139
265,01-12-2020,India,9462809,435603,8889585,137621
266,02-12-2020,India,9499413,428644,8932647,138122
267,03-12-2020,India,9534964,422943,8973373,138648
268,04-12-2020,India,9571559,416082,9016289,139188
269,05-12-2020,India,9608211,409689,9058822,139700
270,06-12-2020,India,9644222,403248,9100792,140182
271,07-12-2020,India,9677203,396729,9139901,140573
272,08-12-2020,India,9703770,383866,9178946,140958
273,09-12-2020,India,9735850,378909,9215581,141360
274,10-12-2020,India,9767371,372293,9253306,141772
275,11-12-2020,India,9796769,363749,9290834,142186
276,12-12-2020,India,9826775,359819,9324328,142628
277,13-12-2020,India,9857029,356546,9357464,143019
278,14-12-2020,India,9884100,352586,9388159,143355
279,15-12-2020,India,9906165,339820,9422636,143709
280,17-12-2020,India,9956557,322366,9489740,144451
281,18-12-2020,India,9979447,313831,9520827,144789
282,19-12-2020,India,10004599,308751,9550712,145136
283,20-12-2020,India,10031223,305344,9580402,145477
284,21-12-2020,India,10055560,303639,9606111,145810
285,22-12-2020,India,10075116,292518,9636487,146111
286,23-12-2020,India,10099066,289240,9663382,146444
287,24-12-2020,India,10123778,283849,9693173,146756
288,25-12-2020,India,10146845,281919,9717834,147092
289,26-12-2020,India,10169118,281667,9740108,147343
290,27-12-2020,India,10187850,278690,9761538,147622
291,28-12-2020,India,10207871,277301,9782669,147901
292,29-12-2020,India,10224303,268581,9807569,148153
293,30-12-2020,India,10244852,262272,9834141,148439
294,31-12-2020,India,10266674,257656,9860280,148738
295,03-01-2121,India,10323965,247220,9927310,149435
296,04-01-2121,India,10340469,243953,9946867,149649
297,05-01-2121,India,10356844,231036,9975958,149850
298,06-01-2121,India,10374932,227546,9997272,150114
299,07-01-2121,India,10395278,228083,10016859,150336
300,08-01-2121,India,10413417,225449,10037398,150570
301,09-01-2121,India,10431639,224190,10056651,150798
302,10-01-2121,India,10450284,223335,10075950,150999
303,11-01-2121,India,10466595,222526,10092909,151160
304,12-01-2121,India,10479179,216558,10111294,151327
305,27-03-2020,Andaman and Nicobar Islands,1,1,0,0
306,28-03-2020,Andaman and Nicobar Islands,6,6,0,0
307,29-03-2020,Andaman and Nicobar Islands,9,9,0,0
308,30-03-2020,Andaman and Nicobar Islands,9,9,0,0
309,31-03-2020,Andaman and Nicobar Islands,10,10,0,0
310,01-04-2020,Andaman and Nicobar Islands,10,10,0,0
311,02-04-2020,Andaman and Nicobar Islands,10,10,0,0
312,03-04-2020,Andaman and Nicobar Islands,10,10,0,0
313,04-04-2020,Andaman and Nicobar Islands,10,10,0,0
314,05-04-2020,Andaman and Nicobar Islands,10,10,0,0
315,06-04-2020,Andaman and Nicobar Islands,10,10,0,0
316,07-04-2020,Andaman and Nicobar Islands,10,10,0,0
317,08-04-2020,Andaman and Nicobar Islands,10,10,0,0
318,09-04-2020,Andaman and Nicobar Islands,11,11,0,0
319,10-04-2020,Andaman and Nicobar Islands,11,11,0,0
320,11-04-2020,Andaman and Nicobar Islands,11,11,0,0
321,12-04-2020,Andaman and Nicobar Islands,11,1,10,0
322,13-04-2020,Andaman and Nicobar Islands,11,1,10,0
323,14-04-2020,Andaman and Nicobar Islands,11,1,10,0
324,15-04-2020,Andaman and Nicobar Islands,11,1,10,0
325,16-04-2020,Andaman and Nicobar Islands,11,1,10,0
326,17-04-2020,Andaman and Nicobar Islands,11,1,10,0
327,18-04-2020,Andaman and Nicobar Islands,12,1,11,0
328,19-04-2020,Andaman and Nicobar Islands,14,3,11,0
329,20-04-2020,Andaman and Nicobar Islands,15,4,11,0
330,21-04-2020,Andaman and Nicobar Islands,16,5,11,0
331,22-04-2020,Andaman and Nicobar Islands,16,5,11,0
332,23-04-2020,Andaman and Nicobar Islands,18,7,11,0
333,24-04-2020,Andaman and Nicobar Islands,22,11,11,0
334,25-04-2020,Andaman and Nicobar Islands,27,16,11,0
335,26-04-2020,Andaman and Nicobar Islands,33,22,11,0
336,27-04-2020,Andaman and Nicobar Islands,33,22,11,0
337,28-04-2020,Andaman and Nicobar Islands,33,22,11,0
338,29-04-2020,Andaman and Nicobar Islands,33,18,15,0
339,30-04-2020,Andaman and Nicobar Islands,33,18,15,0
340,01-05-2020,Andaman and Nicobar Islands,33,17,16,0
341,02-05-2020,Andaman and Nicobar Islands,33,17,16,0
342,03-05-2020,Andaman and Nicobar Islands,33,17,16,0
343,04-05-2020,Andaman and Nicobar Islands,33,1,32,0
344,05-05-2020,Andaman and Nicobar Islands,33,1,32,0
345,06-05-2020,Andaman and Nicobar Islands,33,1,32,0
346,07-05-2020,Andaman and Nicobar Islands,33,1,32,0
347,08-05-2020,Andaman and Nicobar Islands,33,0,33,0
348,09-05-2020,Andaman and Nicobar Islands,33,0,33,0
349,10-05-2020,Andaman and Nicobar Islands,33,0,33,0
350,11-05-2020,Andaman and Nicobar Islands,33,0,33,0
351,12-05-2020,Andaman and Nicobar Islands,33,0,33,0
352,13-05-2020,Andaman and Nicobar Islands,33,0,33,0
353,14-05-2020,Andaman and Nicobar Islands,33,0,33,0
354,15-05-2020,Andaman and Nicobar Islands,33,0,33,0
355,16-05-2020,Andaman and Nicobar Islands,33,0,33,0
356,17-05-2020,Andaman and Nicobar Islands,33,0,33,0
357,18-05-2020,Andaman and Nicobar Islands,33,0,33,0
358,19-05-2020,Andaman and Nicobar Islands,33,0,33,0
359,20-05-2020,Andaman and Nicobar Islands,33,0,33,0
360,21-05-2020,Andaman and Nicobar Islands,33,0,33,0
361,22-05-2020,Andaman and Nicobar Islands,33,0,33,0
362,23-05-2020,Andaman and Nicobar Islands,33,0,33,0
363,24-05-2020,Andaman and Nicobar Islands,33,0,33,0
364,25-05-2020,Andaman and Nicobar Islands,33,0,33,0
365,26-05-2020,Andaman and Nicobar Islands,33,0,33,0
366,27-05-2020,Andaman and Nicobar Islands,33,0,33,0
367,28-05-2020,Andaman and Nicobar Islands,33,0,33,0
368,29-05-2020,Andaman and Nicobar Islands,33,0,33,0
369,30-05-2020,Andaman and Nicobar Islands,33,0,33,0
370,31-05-2020,Andaman and Nicobar Islands,33,0,33,0
371,01-06-2020,Andaman and Nicobar Islands,33,0,33,0
372,02-06-2020,Andaman and Nicobar Islands,33,0,33,0
373,03-06-2020,Andaman and Nicobar Islands,33,0,33,0
374,04-06-2020,Andaman and Nicobar Islands,33,0,33,0
375,05-06-2020,Andaman and Nicobar Islands,33,0,33,0
376,06-06-2020,Andaman and Nicobar Islands,33,0,33,0
377,07-06-2020,Andaman and Nicobar Islands,33,0,33,0
378,08-06-2020,Andaman and Nicobar Islands,33,0,33,0
379,09-06-2020,Andaman and Nicobar Islands,33,0,33,0
380,10-06-2020,Andaman and Nicobar Islands,33,0,33,0
381,11-06-2020,Andaman and Nicobar Islands,34,1,33,0
382,12-06-2020,Andaman and Nicobar Islands,38,5,33,0
383,13-06-2020,Andaman and Nicobar Islands,38,5,33,0
384,14-06-2020,Andaman and Nicobar Islands,38,5,33,0
385,15-06-2020,Andaman and Nicobar Islands,38,5,33,0
386,16-06-2020,Andaman and Nicobar Islands,41,8,33,0
387,17-06-2020,Andaman and Nicobar Islands,44,11,33,0
388,18-06-2020,Andaman and Nicobar Islands,44,11,33,0
389,19-06-2020,Andaman and Nicobar Islands,44,11,33,0
390,20-06-2020,Andaman and Nicobar Islands,45,10,35,0
391,21-06-2020,Andaman and Nicobar Islands,47,11,36,0
392,22-06-2020,Andaman and Nicobar Islands,48,11,37,0
393,23-06-2020,Andaman and Nicobar Islands,48,11,37,0
394,24-06-2020,Andaman and Nicobar Islands,50,10,40,0
395,25-06-2020,Andaman and Nicobar Islands,56,13,43,0
396,26-06-2020,Andaman and Nicobar Islands,59,16,43,0
397,27-06-2020,Andaman and Nicobar Islands,72,29,43,0
398,28-06-2020,Andaman and Nicobar Islands,72,29,43,0
399,29-06-2020,Andaman and Nicobar Islands,76,31,45,0
400,30-06-2020,Andaman and Nicobar Islands,90,44,46,0
401,01-07-2020,Andaman and Nicobar Islands,97,47,50,0
402,02-07-2020,Andaman and Nicobar Islands,100,50,50,0
403,03-07-2020,Andaman and Nicobar Islands,109,58,51,0
404,04-07-2020,Andaman and Nicobar Islands,116,62,54,0
405,05-07-2020,Andaman and Nicobar Islands,119,53,66,0
406,06-07-2020,Andaman and Nicobar Islands,125,53,72,0
407,07-07-2020,Andaman and Nicobar Islands,141,67,74,0
408,08-07-2020,Andaman and Nicobar Islands,147,72,75,0
409,09-07-2020,Andaman and Nicobar Islands,149,72,77,0
410,10-07-2020,Andaman and Nicobar Islands,151,68,83,0
411,11-07-2020,Andaman and Nicobar Islands,156,64,92,0
412,12-07-2020,Andaman and Nicobar Islands,163,70,93,0
413,13-07-2020,Andaman and Nicobar Islands,163,70,93,0
414,14-07-2020,Andaman and Nicobar Islands,166,57,109,0
415,15-07-2020,Andaman and Nicobar Islands,166,57,109,0
416,16-07-2020,Andaman and Nicobar Islands,176,46,130,0
417,17-07-2020,Andaman and Nicobar Islands,180,47,133,0
418,18-07-2020,Andaman and Nicobar Islands,194,52,142,0
419,19-07-2020,Andaman and Nicobar Islands,198,53,145,0
420,20-07-2020,Andaman and Nicobar Islands,203,58,145,0
421,21-07-2020,Andaman and Nicobar Islands,207,55,152,0
422,22-07-2020,Andaman and Nicobar Islands,212,53,159,0
423,23-07-2020,Andaman and Nicobar Islands,221,58,163,0
424,24-07-2020,Andaman and Nicobar Islands,240,70,170,0
425,25-07-2020,Andaman and Nicobar Islands,259,85,174,0
426,26-07-2020,Andaman and Nicobar Islands,290,114,176,0
427,27-07-2020,Andaman and Nicobar Islands,324,142,182,0
428,28-07-2020,Andaman and Nicobar Islands,338,145,192,1
429,29-07-2020,Andaman and Nicobar Islands,363,166,196,1
430,30-07-2020,Andaman and Nicobar Islands,428,225,201,2
431,31-07-2020,Andaman and Nicobar Islands,471,266,201,4
432,01-08-2020,Andaman and Nicobar Islands,548,329,214,5
433,02-08-2020,Andaman and Nicobar Islands,636,403,226,7
434,03-08-2020,Andaman and Nicobar Islands,734,484,242,8
435,04-08-2020,Andaman and Nicobar Islands,830,557,263,10
436,05-08-2020,Andaman and Nicobar Islands,928,639,277,12
437,06-08-2020,Andaman and Nicobar Islands,1027,687,326,14
438,07-08-2020,Andaman and Nicobar Islands,1123,752,355,16
439,08-08-2020,Andaman and Nicobar Islands,1222,778,425,19
440,09-08-2020,Andaman and Nicobar Islands,1351,831,500,20
441,10-08-2020,Andaman and Nicobar Islands,1490,822,648,20
442,11-08-2020,Andaman and Nicobar Islands,1625,896,709,20
443,12-08-2020,Andaman and Nicobar Islands,1764,994,749,21
444,13-08-2020,Andaman and Nicobar Islands,1900,1050,829,21
445,14-08-2020,Andaman and Nicobar Islands,2037,1091,924,22
446,15-08-2020,Andaman and Nicobar Islands,2186,1130,1032,24
447,16-08-2020,Andaman and Nicobar Islands,2306,1154,1128,24
448,17-08-2020,Andaman and Nicobar Islands,2399,1145,1226,28
449,18-08-2020,Andaman and Nicobar Islands,2445,1091,1325,29
450,19-08-2020,Andaman and Nicobar Islands,2529,1078,1421,30
451,20-08-2020,Andaman and Nicobar Islands,2604,1045,1529,30
452,21-08-2020,Andaman and Nicobar Islands,2680,1011,1638,31
453,22-08-2020,Andaman and Nicobar Islands,2747,971,1744,32
454,23-08-2020,Andaman and Nicobar Islands,2808,923,1853,32
455,24-08-2020,Andaman and Nicobar Islands,2860,864,1963,33
456,25-08-2020,Andaman and Nicobar Islands,2904,777,2092,35
457,26-08-2020,Andaman and Nicobar Islands,2945,677,2231,37
458,27-08-2020,Andaman and Nicobar Islands,2985,635,2309,41
459,28-08-2020,Andaman and Nicobar Islands,3018,602,2374,42
460,29-08-2020,Andaman and Nicobar Islands,3050,564,2444,42
461,30-08-2020,Andaman and Nicobar Islands,3081,518,2519,44
462,31-08-2020,Andaman and Nicobar Islands,3104,473,2586,45
463,01-09-2020,Andaman and Nicobar Islands,3132,439,2647,46
464,02-09-2020,Andaman and Nicobar Islands,3160,400,2714,46
465,03-09-2020,Andaman and Nicobar Islands,3186,381,2758,47
466,04-09-2020,Andaman and Nicobar Islands,3223,352,2823,48
467,05-09-2020,Andaman and Nicobar Islands,3257,345,2863,49
468,06-09-2020,Andaman and Nicobar Islands,3292,338,2904,50
469,07-09-2020,Andaman and Nicobar Islands,3332,331,2951,50
470,08-09-2020,Andaman and Nicobar Islands,3359,312,2997,50
471,09-09-2020,Andaman and Nicobar Islands,3392,307,3035,50
472,10-09-2020,Andaman and Nicobar Islands,3426,297,3078,51
473,11-09-2020,Andaman and Nicobar Islands,3465,293,3121,51
474,12-09-2020,Andaman and Nicobar Islands,3494,286,3157,51
475,13-09-2020,Andaman and Nicobar Islands,3521,268,3202,51
476,14-09-2020,Andaman and Nicobar Islands,3546,252,3243,51
477,15-09-2020,Andaman and Nicobar Islands,3557,227,3278,52
478,16-09-2020,Andaman and Nicobar Islands,3574,204,3318,52
479,17-09-2020,Andaman and Nicobar Islands,3593,196,3345,52
480,18-09-2020,Andaman and Nicobar Islands,3604,174,3378,52
481,19-09-2020,Andaman and Nicobar Islands,3631,165,3414,52
482,20-09-2020,Andaman and Nicobar Islands,3644,156,3436,52
483,21-09-2020,Andaman and Nicobar Islands,3651,147,3452,52
484,22-09-2020,Andaman and Nicobar Islands,3673,152,3469,52
485,23-09-2020,Andaman and Nicobar Islands,3691,160,3479,52
486,24-09-2020,Andaman and Nicobar Islands,3712,166,3494,52
487,25-09-2020,Andaman and Nicobar Islands,3744,189,3503,52
488,26-09-2020,Andaman and Nicobar Islands,3759,179,3528,52
489,27-09-2020,Andaman and Nicobar Islands,3774,171,3551,52
490,28-09-2020,Andaman and Nicobar Islands,3794,188,3553,53
491,29-09-2020,Andaman and Nicobar Islands,3803,168,3582,53
492,30-09-2020,Andaman and Nicobar Islands,3821,181,3587,53
493,01-10-2020,Andaman and Nicobar Islands,3835,174,3608,53
494,02-10-2020,Andaman and Nicobar Islands,3848,172,3623,53
495,03-10-2020,Andaman and Nicobar Islands,3858,174,3631,53
496,04-10-2020,Andaman and Nicobar Islands,3868,173,3642,53
497,05-10-2020,Andaman and Nicobar Islands,3884,182,3649,53
498,06-10-2020,Andaman and Nicobar Islands,3899,186,3659,54
499,07-10-2020,Andaman and Nicobar Islands,3912,180,3678,54
500,08-10-2020,Andaman and Nicobar Islands,3935,185,3696,54
501,09-10-2020,Andaman and Nicobar Islands,3952,190,3707,55
502,10-10-2020,Andaman and Nicobar Islands,3976,197,3724,55
503,11-10-2020,Andaman and Nicobar Islands,3992,193,3744,55
504,12-10-2020,Andaman and Nicobar Islands,4005,186,3764,55
505,13-10-2020,Andaman and Nicobar Islands,4023,198,3770,55
506,14-10-2020,Andaman and Nicobar Islands,4036,199,3782,55
507,15-10-2020,Andaman and Nicobar Islands,4046,195,3796,55
508,16-10-2020,Andaman and Nicobar Islands,4062,190,3817,55
509,17-10-2020,Andaman and Nicobar Islands,4072,185,3831,56
510,18-10-2020,Andaman and Nicobar Islands,4083,179,3848,56
511,19-10-2020,Andaman and Nicobar Islands,4108,184,3868,56
512,20-10-2020,Andaman and Nicobar Islands,4126,178,3892,56
513,21-10-2020,Andaman and Nicobar Islands,4141,183,3902,56
514,22-10-2020,Andaman and Nicobar Islands,4168,199,3913,56
515,23-10-2020,Andaman and Nicobar Islands,4184,190,3937,57
516,24-10-2020,Andaman and Nicobar Islands,4207,204,3945,58
